name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB250910786,8.384,0.724,3.072,0.572,9.0069,0.8501,-46.36,1.0,0.26717557251908397,0.02307193636734456,0.366412213740458,0.07520546518109401,False,False,True,True,False,False
GRB251203346,35.073,1.493,10.496,0.362,14.0408,1.2468,-46.9,2.16,0.17517748695577795,0.007457017877711531,0.29926154021612067,0.016395542367071674,False,True,True,False,False,False
GRB250228308,0.64,1.382,0.192,0.181,4.3363,0.9066,-46.81,11.91,0.5,1.0796875,0.3,0.7068549676648668,True,True,True,True,False,False
GRB260129190,22.016,0.923,18.688,1.28,3.8112,1.118,-46.76,9.67,0.04651162790697675,0.0019499560573282859,0.8488372093023256,0.06816611030658676,False,True,False,True,False,False
GRB240318180,1.216,1.89,0.384,0.781,7.9018,4.0559,-44.44,14.4,0.47368421052631576,0.7362361495844875,0.31578947368421056,0.808343189327474,True,True,True,True,False,False
GRB260105949,46.093,0.371,26.625,0.724,7.3592,1.4835,55.5,3.33,0.18354196949645282,0.0014773191305227256,0.5776365174755386,0.01638103150578671,False,True,True,True,False,False
GRB251201685,91.394,2.828,32.769,1.81,8.4361,1.8956,-44.2323,0.0011,0.07562859706326455,0.0023401719204205105,0.35854651290019035,0.02270023028228883,False,True,True,True,False,False
GRB240807920,0.832,0.41,0.128,0.181,27.8277,3.942,-42.71,7.82,0.46153846153846156,0.22744082840236685,0.15384615384615385,0.23037983669022097,True,False,True,False,False,False
GRB230915236,34.817,7.953,8.96,0.572,6.8558,1.0135,-45.97,3.42,0.49263290921101766,0.11252863621090914,0.25734554958784506,0.0610361985042906,False,False,True,True,False,False
GRB240817057,1.728,1.262,0.128,0.091,8.6084,0.9888,-45.81,7.76,0.5185185185185185,0.37868655692729764,0.07407407407407407,0.0754976314667099,True,True,True,True,False,False
GRB221107058,231.428,2.573,176.387,0.572,12.912,1.4642,-45.4,2.06,0.030972915982508595,0.00034435467109854734,0.7621679312788426,0.008826830650704059,False,True,False,False,False,False
GRB260213736,22.528,2.29,6.912,1.145,11.2624,1.5413,-40.63,3.63,0.44318181818181823,0.04504999838584711,0.3068181818181818,0.0596319181645292,False,False,True,True,False,False
